Destination,Source,Type,Index,Value,Text
15,0,QUEST,35,0,Complete Quest [Steel Your Heart]
31,0,COMPLETE_COMP,0,0x3aae57ca13cf6f026b9eac8e97f9b891b59fb198c3f15f95a3a2460ffda3b40c,Gate at Scrap Paths unlocked
50,0,COMPLETE_COMP,0,0xa2dd18e2e4e6da502da18d3021a949727044dcb27d99ed5693917e4edc048647,Gate at Scrap Paths unlocked
53,0,COMPLETE_COMP,0,0xede4e5d4ab41268885e260787a486aa6ee6a7b5a2bea8b0823ea962285bc2804,Gate at Scrap Paths unlocked
58,0,COMPLETE_COMP,0,0xcdaaba0aa8b851e54a6af582c0d75a42f55487d8a9b7e1fa300750fc72c7d731,Gate at Scrap Paths unlocked
59,0,COMPLETE_COMP,0,0x4f6a7280ddea6b2bc9d72dd58908ad40125e514cd6c8dc2f3256df062a6a8c20,Gate at Scrap Paths unlocked
68,0,COMPLETE_COMP,0,0x6e9663ad45f9ac77e6bb31c45246cfbbd6a603941b75035df24223c4fa7a54af,Gate at Scrap Paths unlocked
78,0,COMPLETE_COMP,0,0x909cb0ef35f5f5f666b1b04ed0ee93bf4379cf0ebdd488301650fd8faedfa6f4,Gate at Scrap Paths unlocked
84,0,COMPLETE_COMP,0,0x909cb0ef35f5f5f666b1b04ed0ee93bf4379cf0ebdd488301650fd8faedfa6f4,Gate at Scrap Paths unlocked
86,0,COMPLETE_COMP,0,0x6d7640e17489ac1cad02e6425d589438c633d881e8533e052d21634507e6cf5a,Gate at Scrap Paths unlocked
88,0,ITEM,100004,0x1,1 Aetheric Sextant
